Company1,Company2,Value
13,5,0.6876490611030033
13,6,-0.33822756374369534
13,7,0.5182473490580503
13,8,0.5942138848017924
13,9,-0.612747900350283
13,10,-0.5033928616737555
13,11,-0.2393312449068141
13,12,-0.2019801375423468
13,13,1.0
13,14,-0.22029843914056396
13,15,0.741376973126495
13,16,0.6353523790085597
13,17,-0.6225281444977889
13,18,0.5119966516319593
13,19,-0.5215714961084755
13,20,-0.5969046968399435
13,21,-0.5821906329937043
13,22,0.38388925200993707
13,23,0.15157592731243888
13,24,0.2651656379143477
13,25,0.6562629570051096
13,26,-0.2857952543336481
13,27,-0.5585179784723114
13,28,0.7247849128186808
13,29,-0.25737350484581
13,30,-0.4669471510823089
14,1,-0.19924326601125075
14,2,0.373935365841196
14,3,-0.28883004324260036
14,4,-0.1034218317282062
14,5,-0.2956429190142821
14,6,0.08370356768739046
14,7,-0.16350815435469795
14,8,-0.06513252834616517
14,9,0.44197068844596304
14,10,0.6351871986228483
14,11,0.10718837234639797
14,12,0.04931868664274669
14,13,-0.22029843914056396
14,14,1.0
14,15,-0.25504484950978323
14,16,-0.18148999807715782
14,17,0.3845191236087062
14,18,-0.14411805610698616
14,19,0.19354112190049827
14,20,0.3466074075661286
14,21,0.3226330020818828
14,22,-0.12073596153174891
14,23,-0.126704818806814
14,24,-0.11614100905032418
14,25,-0.19864011800515455
14,26,0.2084893933595423
14,27,0.13891244713612125
14,28,-0.11550996542709487
14,29,0.18638346058724645
14,30,0.44371284331525473
15,1,0.7279981018202033
15,2,0.2572988095221746
15,3,0.7915013212781867
15,4,0.49916820010122115
15,5,0.8820831870143635
15,6,-0.5998222139356228
15,7,0.38097559930904346
15,8,0.46544388051836866
15,9,-0.7258775074202937
15,10,-0.5842883701196113
15,11,-0.2646807731508558
15,12,-0.2281637181375638
15,13,0.741376973126495
15,14,-0.25504484950978323
15,15,1.0
15,16,0.604838964007251
15,17,-0.7943418294762734
15,18,0.38263866638520977
15,19,-0.6079520423462774
15,20,-0.6999404327454606
15,21,-0.7514206390240362
15,22,0.5410976558771807
15,23,0.03345726029599001
15,24,0.13896385199774183
15,25,0.8123149868605255
15,26,-0.3130221711214004
15,27,-0.7346807859425198
15,28,0.5578666424194567
15,29,-0.28104979390174717
15,30,-0.5602504378795381
16,1,0.26132559252279935
16,2,0.2191443369281204
16,3,0.7328530085431311
16,4,0.09185845148644936
16,5,0.6236646422517103
16,6,-0.030130628647275746
16,7,0.6825844855656841
16,8,0.6424425930457647
16,9,-0.5759454939645883
